nice,友好的；亲切的；讨人喜欢的
always,总是；一直
a bit,稍微；有点儿
shy,羞怯的；胆怯的；腼腆的
*e-card,电子贺卡
quiet,文静的
another,另一个；再一个
him,（宾格）他
*parrot,鹦鹉
twenty,二十
helpful,肯帮忙的；有用的
maths,数学；数学课
*plus,加；加上
more,更多的；另外的；附加的
round,圆形的；球形的
will,将；将会
you'll,你将（=you will）
tower,塔
bridge,桥
won't,将不（=will not）
countryside,农村；乡下
farmer,农民；农场主
there,在那里
lots of,许多的；大量的
breakfast,早餐
have breakfast,吃早餐
tea,茶；茶叶
tea party,（下午的）茶会；茶话会
about,关于
river,河
wide,宽的；宽阔的；宽广的
old,年代久的；古老的
clock,钟；时钟
wheel,轮子
pick,采；摘（花、水果）
fourteen,十四
sixteen,十六
eighteen,十八
thirteen,十三