airport,飞机场
begin,开始
boat,小船，小舟
bread,面包
bring,带来
broken,损坏的
cake,蛋糕
careful,小心的
*chips,（常复）炸薯条
chopsticks,（常复）筷子
class,课
clever,聪明的
climb,爬
cold,感冒
cough,咳嗽
cry,哭
dad,爸爸
drink,一杯（份）饮料
dragon boat,龙舟
easy,容易的
far,远
fast,快，快速地
feed,喂，为……提供食物
film,电影
fly,飞
food,食物
fork,叉
Friday,星期五
get,拿，取
get out,走开，离开
go out,外出
grass,草
hamburger,汉堡包
hard,困难的
has got,有（have got的第三人称单数）
have got,有
headache,头痛
high,高的
high jump,跳高
hungry,饥饿的
*kaala,树袋熊，考拉
knife,刀
lake,湖
library,图书馆，图书室
long jump,跳远
lovely,可爱的
make,制作
make friends,交朋友
mess,脏乱，凌乱
mum,妈妈
*naughty,淘气的
paper,纸质的
*peach,桃子
pear,梨
people,人，人们
quiet,安静的，不出声的
race,赛跑
row,划（船）
run a race,（参加）赛跑
Saturday,星期六
sea,大海
shop,商店
slow,慢的
sports day,运动日
star,明星；星
stomach ache,胃痛；腹痛
test,考试
thanks,谢谢
umbrella,雨伞
uncle,伯父；叔父；舅父；姑父；姨父
use,使用
visit,拜访（某人），参观（某地）
want,想要
wash,洗
water,给（植物）浇水；水
which,哪一个
winner,胜利者
worry,担心
a knife and fork,一副刀叉
fast food,快餐