doll,玩偶，玩具娃娃
matter,事情
lost,丢失（lose的过去式）
found,发现（find的过去式）
key,钥匙
look for,寻找
happen,发生
fall off,从……跌落
bike ride,骑自行车
thirsty,渴的
water,水
watermelon,西瓜
carried,拿，搬（carry的过去式）
bump,碰，撞
hurt,使疼痛；使受伤（hurt的过去式）
knee,膝盖
cut,切，割（cut的过去式）
finger,手指
when,什么时候
came,来（come的过去式）
competition,比赛
won,赢，获胜（win的过去式）
gold,金制的
cup,杯
flute,长笛
practise,练习
took,拍摄（take的过去式）
look,看上去……
a lot,经常，长时间地
computer game,计算机游戏
take,服（药）
medicine,药
a lot of,许多的
exercise,运动，锻炼
salad,色拉，凉拌菜
healthy,有益健康的；健康的
juice,果汁
before,在……之前
after,在……之后
toilet,厕所
early,早
every,每个，每一
during,在……期间